evaluation_sample,n_components,cumulative_explained_variance,roc_auc,pr_auc,precision_failed,recall_failed,f1_failed
Internal validation,2,0.838,0.498,0.063,0.07,0.846,0.13
Internal validation,3,0.892,0.642,0.116,0.08,0.84,0.146
Internal validation,5,0.939,0.651,0.124,0.081,0.853,0.148
Internal validation,8,0.98,0.669,0.14,0.082,0.859,0.15
Internal validation,10,0.992,0.671,0.147,0.084,0.871,0.152
Internal validation,12,0.998,0.674,0.151,0.082,0.849,0.15
Internal validation,15,1.0,0.671,0.147,0.082,0.846,0.149
Internal validation,18,1.0,0.671,0.147,0.082,0.846,0.149
