model,accuracy,balanced_accuracy,roc_auc,pr_auc,precision_failed,recall_failed,f1_failed,true_negative,false_positive,false_negative,true_positive,n_components,cumulative_explained_variance
PCA Logistic Regression (2 components),0.25771812080536916,0.5311298425641731,0.497775130942019,0.06341207448949904,0.07037593984962406,0.8457831325301205,0.12993984266543268,2562,9273,128,702,2,0.8380359542758975
PCA Logistic Regression (3 components),0.35530990919857874,0.5805470296903712,0.6424850733733413,0.11570734445246297,0.0798487799289724,0.8397590361445784,0.14583115388638979,3803,8032,133,697,3,0.8918450958130762
PCA Logistic Regression (5 components),0.3563363600473747,0.5872580308559969,0.6510719175816065,0.12442531286666245,0.081025406271458,0.8530120481927711,0.1479933110367893,3805,8030,122,708,5,0.939105306902296
PCA Logistic Regression (8 components),0.3606000789577576,0.5923402100162373,0.6691837056718636,0.13999329314678965,0.082010582010582,0.8590361445783132,0.1497270054598908,3854,7981,117,713,8,0.9795855614433489
PCA Logistic Regression (10 components),0.3654165021713383,0.6005189325107783,0.6714000234143164,0.14671823485351326,0.08355483647289957,0.8710843373493976,0.152483391331857,3905,7930,107,723,10,0.9919183961503804
PCA Logistic Regression (12 components),0.3696012633241216,0.5926751365410947,0.6737169209156016,0.15072048276100214,0.08232134516581037,0.8493975903614458,0.15009580583351076,3976,7859,125,705,12,0.9982108962228996
PCA Logistic Regression (15 components),0.3669166995657323,0.5895582329317269,0.6707078758634029,0.14718384954931088,0.08170391061452514,0.8457831325301205,0.14901294841859478,3945,7890,128,702,15,0.9999999999999972
PCA Logistic Regression (18 components),0.3669166995657323,0.5895582329317269,0.6707078758634029,0.14718384954931088,0.08170391061452514,0.8457831325301205,0.14901294841859478,3945,7890,128,702,18,0.9999999999999999
