model,model_type,model_family,selected_parameters,selection_metric,validation_pr_auc_during_selection
Majority-class baseline,DummyClassifier,baseline,strategy=most_frequent,reference model,
Logistic Regression,LogisticRegression,logistic_regression,"C=1.0, standard L2 regularization, class_weight=balanced",fixed specification,
Decision Tree,DecisionTreeClassifier,tree_based,"{'max_depth': 5, 'min_samples_leaf': 50}",validation PR-AUC,0.14602444428818695
Random Forest,RandomForestClassifier,tree_based,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 30, 'max_features': 'sqrt'}",validation PR-AUC,0.1510634234190372
